id,year,Company,Name,Exchange,Financial_Distress,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
43,2010,TTF,G? Tr??ng Thành,HOSE,1,0.03,0.36,1.09,0.12,0.04,1.88,0.59,2.01,0.64,2.13,0.68,0,0,4.97,4.97,0.43,0.16,0.46,359.77,10.66,1905.49,0.86,6.6,7.51,2355
44,2011,TTF,G? Tr??ng Thành,HOSE,1,0.02,0.37,1.06,0.12,0.03,2.8,0.58,3.53,0.72,3.71,0.76,0,0,33.58,33.58,0.45,0.1,0.43,311.71,0,2208.69,0.73,7.67,8.5,283
45,2012,TTF,G? Tr??ng Thành,HOSE,1,0.01,0.25,1.1,0.23,0.05,2.68,0.56,3.36,0.7,3.64,0.76,0,0,91.42,91.42,0.3,0.12,0.29,313.02,0.86,2148.09,0.81,8.04,9.16,58
46,2013,TTF,G? Tr??ng Thành,HOSE,1,0.05,0.22,1.15,0.14,0.03,2.33,0.56,2.84,0.69,3.02,0.73,0,0,103.94,104.51,0.93,0.51,0.88,793.79,-3.38,2709.99,1.75,11.36,13.38,62
47,2014,TTF,G? Tr??ng Thành,HOSE,1,0.05,0.34,1.24,0.08,0.02,1.69,0.49,2.27,0.66,2.39,0.69,0,0,11.86,11.86,0.89,0.99,0.84,1442.96,-1.87,3313.26,2.27,12.18,13.99,868
48,2017,TTF,G? Tr??ng Thành,HOSE,1,0.02,0.61,1.19,0.6,0.12,1.08,0.22,3.4,0.67,4.03,0.8,5.03,0.36,95.94,95.94,1.26,0.76,1.26,1030.12,10.05,2544.4,1.87,13.51,17.69,50
49,2018,TTF,G? Tr??ng Thành,HOSE,1,0.07,0.49,1.01,1.31,0.13,3.01,0.18,4.94,0.73,5.98,0.86,5.47,0,-1.05,-1.05,2.9,0.72,2.98,748.98,25.52,1255.41,1.2,-1.53,-1.45,-2351.18
50,2010,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.18,0.52,0.75,1.31,0.36,1.78,0.57,0.48,0.15,2.12,0.68,0,1121.43,8.55,8.55,0.65,0.38,0.65,1022,1.79,3685.23,1.35,11.83,14.15,853
51,2011,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.1,0.81,1.15,1.31,0.36,2.23,0.59,0.43,0.12,2.65,0.72,0,1353.99,103.94,104.51,0.37,0.18,0.37,538.63,-6.61,3696.8,1.23,19.34,19.34,30
52,2012,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.03,0.36,0.64,1.31,0.36,2.17,0.59,0.45,0.12,2.6,0.72,0,0,-4.22,-4.19,0.4,0.23,0.4,552.44,3.88,3580.71,1.47,15.99,29.72,-251
53,2013,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.11,0.67,0.91,1.31,0.36,2.46,0.56,0.61,0.14,3.36,0.77,0,0,-3.21,-3.21,0.52,0.29,0.51,630,3.69,3553.62,1.61,-30.33,-64,-1403
54,2014,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.37,1.15,1.46,1.31,0.36,2.18,0.55,0.42,0.11,2.93,0.74,0,0,7.72,7.72,0.42,0.27,0.42,546,4.09,3162.7,1.55,16.97,16.97,505
55,2017,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.17,0.72,0.81,1.31,0.36,3.01,0.59,1.59,0.26,5.05,0.83,5.47,0.33,26.34,26.34,0.44,0.18,0.45,282.8,1.92,2609.51,1.62,11.87,-11.79,77
56,2018,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.14,0.75,0.86,1.31,0.34,2.97,0.53,1.88,0.34,4.57,0.82,5.47,0.45,12.58,12.58,0.33,0.13,0.33,215.6,0.78,2226.07,1.32,6.47,-30.64,122
57,2019,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.07,0.64,0.72,1.01,0.23,2.05,0.46,1.66,0.38,3.41,0.77,4.41,0.28,3.7,3.7,0.27,0.12,0.27,189,0.78,1644.09,1.07,7.04,-15.74,365
58,2020,VOS,V?n t?i Bi?n Vi?t Nam,HOSE,1,0.06,0.83,0.91,1.31,0.31,2.61,0.47,1.79,0.33,4.5,0.82,5.47,0.28,-2.93,-2.93,1.08,0.43,1.1,548.8,15.77,1902.32,1.49,11.46,-12.82,-1338
59,2010,SD2,Sông ?à 2,HNX,1,0.42,1.36,1.99,0.52,0.18,0.76,0.27,1.15,0.4,1.67,0.58,0,1875,3.3,3.3,0.71,0.26,0.6,134.4,-13.42,197.63,0.38,2.23,4.45,3389
60,2011,SD2,Sông ?à 2,HNX,1,0.09,0.77,1.6,0.48,0.13,1.04,0.28,1.99,0.54,2.48,0.67,0,2000,4.95,4.95,0.6,0.22,0.5,116.4,-1.35,281.68,0.52,4.15,5.52,1.96
61,2012,SD2,Sông ?à 2,HNX,1,0.13,0.7,1.44,0.43,0.1,1.1,0.26,2.64,0.62,3.07,0.72,0,0,4.74,4.74,0.35,0.13,0.3,67.2,2.97,211.42,0.39,3.63,4.35,1181
62,2013,SD2,Sông ?à 2,HNX,1,0.12,0.67,1.51,0.37,0.1,1.06,0.28,2.3,0.6,2.67,0.7,0,1812.5,15.28,15.28,0.55,0.21,0.48,110.4,14.81,274.03,0.5,5.77,7.44,602
63,2014,SD2,Sông ?à 2,HNX,1,0.13,0.74,1.48,0.57,0.14,1.52,0.38,2.44,0.61,3.01,0.75,0,0,16.47,16.47,0.49,0.16,0.49,105.29,-1.54,378.13,0.58,8.88,12.91,443
64,2017,SD2,Sông ?à 2,HNX,1,0.08,0.73,1.1,0.19,0.05,1.65,0.46,2.39,0.67,2.58,0.72,3.58,0,15.92,15.92,0.34,0.1,0.34,70.68,-31.34,388.73,0.55,-30.33,-29.16,308
65,2018,SD2,Sông ?à 2,HNX,1,0.04,0.86,1.48,0.21,0.07,1.35,0.43,1.93,0.61,2.15,0.68,3.15,0.14,42.67,42.67,0.42,0.19,0.42,86.54,2.28,360.98,0.79,10.27,13.67,141
66,2019,SD2,Sông ?à 2,HNX,1,0.01,0.74,1.34,0.11,0.03,1.03,0.29,2.48,0.69,2.59,0.72,3.59,0.1,-4.22,-4.19,0.47,0.21,0.47,87.98,1.17,286.04,0.69,15.41,28.35,-750
67,2020,SD2,Sông ?à 2,HNX,1,0.01,0.83,1.38,0.02,0.01,1.01,0.33,2.05,0.67,2.07,0.67,3.07,0,-3.66,-3.66,0.53,0.26,0.53,86.54,3.29,262.65,0.79,-30.33,-21.71,-1.64
68,2010,TNG,?T & TM TNG,HNX,1,0.07,0.39,0.8,0.21,0.06,1.92,0.56,2.22,0.64,2.44,0.71,0,0,5,5,0.8,0.26,1.13,164.23,-11.17,425.73,0.68,5.45,8.69,2442
69,2011,TNG,?T & TM TNG,HNX,1,0.12,0.4,0.78,0.54,0.14,2.39,0.59,2.28,0.6,2.83,0.74,0,2731.17,5.36,5.36,0.63,0.12,0.7,135.96,-5.8,589.35,0.51,5.11,7.53,1885
70,2012,TNG,?T & TM TNG,HNX,1,0.02,0.34,0.78,0.8,0.18,3.01,0.59,2.67,0.6,3.47,0.78,0,0,4.61,4.61,0.47,0.08,0.52,100.96,-1.54,739.08,0.61,5.16,7.35,1626
71,2013,TNG,?T & TM TNG,HNX,1,0.02,0.26,0.73,0.87,0.19,3.01,0.59,2.67,0.59,3.54,0.78,0,2731.17,13.6,13.6,0.9,0.16,1.12,191.15,1.55,834.12,0.7,6.12,9.1,1044
72,2014,TNG,?T & TM TNG,HNX,1,0.03,0.34,0.82,0.69,0.16,2.88,0.59,2.58,0.6,3.28,0.77,0,0,7.94,7.94,1.62,0.39,1.84,531.01,-58.74,1450.36,1.05,8.14,11.43,3048
77,2017,ACV,C?ng Hàng không VN,UPCOM,1,0.18,3.53,3.58,0.52,0.29,0.53,0.29,0.27,0.15,0.8,0.44,1.8,35.64,46.65,46.65,2.9,5.06,2.98,4818.31,43.54,6993.74,6.55,23.43,44.9,1883
78,2018,ACV,C?ng Hàng không VN,UPCOM,1,0.08,4.04,4.1,0.49,0.28,0.49,0.28,0.25,0.14,0.74,0.43,1.74,42.88,29.33,29.33,2.9,5.06,2.98,4818.31,22.69,6993.74,6.55,18.36,29.4,2818
79,2019,ACV,C?ng Hàng không VN,UPCOM,1,0.05,5.25,5.72,0.4,0.25,0.41,0.26,0.18,0.11,0.58,0.37,1.58,35.27,15.65,15.65,2.9,5.06,2.98,4818.31,14.16,6993.74,6.55,12.06,18.01,3767
80,2020,ACV,C?ng Hàng không VN,UPCOM,1,0.13,5.25,6.49,0.41,0.27,0.42,0.27,0.1,0.07,0.51,0.34,1.51,10.37,95.67,95.67,2.9,5.06,2.98,4818.31,59.2,6993.74,6.55,48.31,108.48,757
89,2010,ATA,NTACO,UPCOM,1,0.11,0.55,1.07,0.2,0.04,3.01,0.59,3.48,0.73,3.8,0.79,0,0,4.49,4.49,1.36,0.29,1.61,208,-2.65,684.55,0.96,6.85,7.44,4634
90,2011,ATA,NTACO,UPCOM,1,0.09,0.42,1.05,0.15,0.03,3.01,0.59,3.22,0.73,3.43,0.77,0,0,5.26,5.26,0.63,0.16,0.75,98.4,11.86,578.98,0.94,5.44,5.97,1558
91,2012,ATA,NTACO,UPCOM,1,0.06,0.38,1,0.03,0.01,2.9,0.59,3.4,0.77,3.44,0.77,0,0,10.5,10.5,0.37,0.14,0.64,57.6,3.09,505.97,1.21,7.05,8.27,457
92,2013,ATA,NTACO,UPCOM,1,0.04,0.3,1,0,0,2.88,0.59,3.81,0.78,3.81,0.79,0,0,103.94,104.51,0.41,0.27,0.71,63.6,16.85,514.25,2.17,9.06,11.52,27
93,2014,ATA,NTACO,UPCOM,1,0.02,0.37,1,0,0,2.77,0.51,4.42,0.78,4.42,0.82,0,0,-2.67,-2.67,0.27,0.15,0.52,38.4,0.89,428.74,1.69,12,16.8,-1.2
94,2010,AVF,Th?y s?n Vi?t An,UPCOM,1,0.04,0.69,1,0.31,0.07,2.62,0.59,2.91,0.68,3.22,0.76,0,2731.17,4.22,4.22,0.96,0.22,1.1,344.25,-1.49,1251.61,0.78,7.95,8.97,3626
95,2011,AVF,Th?y s?n Vi?t An,UPCOM,1,0.17,0.78,1.09,0.02,0.01,3.01,0.59,3.82,0.78,3.85,0.79,0,2731.17,5.87,5.87,0.92,0.19,1.2,360,-1.06,1565.46,0.84,8.88,10.03,2728
96,2012,AVF,Th?y s?n Vi?t An,UPCOM,1,0.03,0.66,1.09,0.01,0,2.43,0.59,2.77,0.73,2.78,0.74,0,0,5.36,5.36,0.45,0.11,0.57,198.52,1.32,1242.44,0.66,8.5,9.77,1324
97,2013,AVF,Th?y s?n Vi?t An,UPCOM,1,0.03,0.67,1.08,0.01,0,2.82,0.59,3.05,0.75,3.06,0.75,0,0,12.3,12.3,0.59,0.21,0.86,310.36,-1.15,1564.59,1.03,12.89,15.58,602
98,2017,BBT,Bông B?ch Tuy?t,UPCOM,1,0.1,0.61,0.8,0,0,0.08,0.01,4.94,0.78,5.27,0.84,5.47,7.57,8.9,8.9,2.9,1.37,2.98,126.54,-58.74,124.22,1.34,8.09,9.94,2078
100,2019,BBT,Bông B?ch Tuy?t,UPCOM,1,0.15,0.76,1.21,0,0,0.14,0.06,1.27,0.56,1.28,0.56,2.28,3.29,8.19,8.19,2.9,1.88,2.98,204.01,-30.26,201.86,1.86,10.13,12.09,2542
101,2010,BHC,Bê tông Biên H?a,UPCOM,1,0.03,0.63,1.04,0.61,0.15,1.34,0.34,2.37,0.59,2.99,0.75,0,1666.67,5.55,5.55,0.59,0.13,0.95,32.4,-58.74,102.36,0.39,4.01,5.32,1296
102,2011,BHC,Bê tông Biên H?a,UPCOM,1,0.07,0.59,0.83,0.83,0.16,1.87,0.37,3.24,0.64,4.07,0.8,0,0,-1.26,-1.26,0.49,0.09,1.17,17.55,1.04,76.53,0.4,69.17,-15.57,-2351.18
103,2012,BHC,Bê tông Biên H?a,UPCOM,1,0.01,0.45,0.61,1.31,0.18,3.01,0.39,4.94,0.73,5.98,0.86,0,0,-0.4,-0.4,0.54,0.06,0.18,8.1,67.91,68.55,0.53,-5.9,-4.49,-2351.18
104,2010,BHT,??u t? XD B?ch ??ng,UPCOM,1,0.14,1.2,1.78,1.31,0.36,2.1,0.43,2.1,0.44,3.83,0.79,0,0,13.1,13.1,2.46,1.08,2.98,80.6,-1.28,139.74,1.87,12.63,15.35,2367
105,2011,BHT,??u t? XD B?ch ??ng,UPCOM,1,0.19,1.04,1.97,1.31,0.36,3.01,0.53,2.99,0.42,5.98,0.86,0,0,7.5,7.5,1.26,0.54,2.48,41.4,-0.66,145.89,1.9,12.42,15.77,1201
106,2012,BHT,??u t? XD B?ch ??ng,UPCOM,1,0.01,0.69,1.92,1.31,0.36,2.52,0.51,2.14,0.43,3.93,0.8,0,0,-1.82,-1.82,0.43,0.32,0.68,18.4,-0.81,125.37,2.17,-30.33,-32.68,-2195
107,2013,BHT,??u t? XD B?ch ??ng,UPCOM,1,0,0.75,1.95,1.31,0.35,2.55,0.54,2.06,0.44,3.73,0.79,0,0,25.73,25.73,0.64,0.47,1,28.06,-5.08,140.55,2.35,15.92,25.01,237
108,2014,BHT,??u t? XD B?ch ??ng,UPCOM,1,0.04,0.84,2.02,1.31,0.32,1.97,0.48,1.77,0.43,3.1,0.76,0,0,2.85,2.85,0.51,0.88,0.73,27.6,2.66,129.95,4.16,7.1,8.51,2103
109,2016,BHT,??u t? XD B?ch ??ng,UPCOM,1,0,0.58,2.19,1.31,0.36,3.01,0.57,3.53,0.4,5.98,0.86,5.47,0,-0.65,-0.65,0.93,2.72,2.98,17.94,-10.9,119.26,6.55,-8.44,-7.08,-2351.18
110,2010,BT6,Bê tông 6,UPCOM,1,0.12,0.79,1.14,0.02,0.01,0.54,0.21,1.31,0.51,1.45,0.57,0,0,6.99,6.99,0.44,0.69,0.42,544.39,2.25,727.78,0.92,4.42,6.66,2361
111,2011,BT6,Bê tông 6,UPCOM,1,0.08,0.62,0.95,0.05,0.01,1.37,0.35,2.56,0.65,2.85,0.72,0,0,7.53,7.53,0.63,0.21,0.95,287.04,0.79,845.5,0.62,4.83,5.67,1155
112,2012,BT6,Bê tông 6,UPCOM,1,0.11,0.72,1.04,0.02,0.01,1.24,0.33,2.62,0.69,2.67,0.71,0,0,5.3,5.3,0.46,0.16,0.68,204.56,-5.99,686.97,0.52,4.55,4.55,1171
113,2013,BT6,Bê tông 6,UPCOM,1,0.07,0.77,1.06,0.01,0,1.43,0.4,2.52,0.7,2.53,0.7,0,0,20.79,20.79,0.58,0.24,0.61,257.35,-1.52,865.91,0.8,7.97,9.58,375
114,2016,BT6,Bê tông 6,UPCOM,1,0.01,0.76,1.04,0.05,0.01,1.18,0.37,2.12,0.67,2.16,0.68,3.16,0,11.05,11.05,0.26,0.1,0.18,95.43,1.85,488.65,0.51,-4.14,-3.83,262
115,2017,BT6,Bê tông 6,UPCOM,1,0,0.88,1.19,0.05,0.01,0.96,0.29,1.93,0.57,2.36,0.7,3.36,0,-0.36,-0.36,0.26,0.09,0.18,49.36,0.19,421.31,0.81,-30.33,-15.78,-2351.18
116,2018,BT6,Bê tông 6,UPCOM,1,0,0.51,0.64,0.07,0,3.01,0.39,4.94,0.78,5.98,0.86,5.47,0,-0.13,-0.13,0.72,0.33,0.72,42.78,-1.1,398.53,3.06,-3.38,-3.11,-2351.18
117,2010,CAD,Th?y s?n Cadovimex,UPCOM,1,0.01,0.31,0.86,0.64,0.09,3.01,0.59,4.94,0.72,5.98,0.82,0,0,-2.09,-2.09,0.26,0.04,0.21,35.2,0.03,842.17,0.68,9.7,11.07,-1912
118,2011,CAD,Th?y s?n Cadovimex,UPCOM,1,0.04,0.23,0.34,0,0,0,0.59,0.09,0.78,0.11,0.86,0,0,-0.02,-0.02,0.26,0.04,0.18,7.04,0,445.54,1.47,-1.98,-1.98,-2351.18
119,2012,CAD,Th?y s?n Cadovimex,UPCOM,1,0.05,0.18,0.27,0,0,0,0.59,0.09,0.78,0.11,0.86,0,0,21.62,21.62,0.26,0.05,0.18,10.56,0,420.87,1.91,16.71,19.75,56
120,2010,CMI,CMISTONE Vi?t Nam,UPCOM,1,0.05,1.26,1.37,0.07,0.03,0.61,0.28,1.08,0.5,1.15,0.53,0,1149.24,4.33,4.33,0.62,1.4,2.11,128.25,0,170.53,1.86,7.87,8.78,1733
121,2011,CMI,CMISTONE Vi?t Nam,UPCOM,1,0.01,1.07,1.37,0.14,0.06,0.87,0.37,1.19,0.51,1.32,0.57,0,0,26.47,26.47,0.46,0.37,0.52,36.39,5.63,104.68,1.06,21.4,21.4,185
122,2012,CMI,CMISTONE Vi?t Nam,UPCOM,1,0,0.96,1.07,0.2,0.08,0.81,0.34,1.16,0.49,1.36,0.58,0,0,3.87,3.87,0.49,1.08,0.55,36.39,0,97.28,2.87,7.14,7.14,1267
123,2013,CMI,CMISTONE Vi?t Nam,UPCOM,1,0.01,0.74,0.84,0.15,0.06,0.77,0.28,1.57,0.58,1.72,0.63,0,0,10.1,10.1,1.68,2.5,1.89,132.18,5.37,191.45,3.62,8.89,8.89,1763
124,2014,CMI,CMISTONE Vi?t Nam,UPCOM,1,0.31,1.05,1.24,0.03,0.02,0.34,0.18,0.89,0.46,0.92,0.48,0,0,5.65,5.65,1.14,1.83,1.2,208,9.06,218.42,1.92,5.5,5.89,2301
125,2016,CMI,CMISTONE Vi?t Nam,UPCOM,1,0.01,0.86,1,0.78,0.24,1.37,0.42,1.46,0.45,2.24,0.69,3.24,0,-1.59,-1.59,0.57,5.06,0.6,75.2,-1.59,157.82,6.55,-23.71,-11,-2351.18
126,2017,CMI,CMISTONE Vi?t Nam,UPCOM,1,0,0.2,0.3,1.31,0.36,3.01,0.59,4.94,0.57,5.98,0.86,5.47,0,-0.18,-0.18,1.52,0.75,2.98,20.8,-34.56,177.49,6.36,-2.73,-2.33,-2351.18
128,2011,CNT,XD và Kinh Doanh C&T,UPCOM,1,0.1,0.82,1.01,0.35,0.04,3.01,0.5,4.94,0.76,5.98,0.86,0,0,8.99,8.99,0.37,0.04,0.37,87.25,0.91,990.95,0.25,5.21,5.4,979
129,2012,CNT,XD và Kinh Doanh C&T,UPCOM,1,0.11,0.98,1.19,1.31,0.17,3.01,0.51,4.91,0.62,5.98,0.86,0,0,-3.87,-3.87,0.26,0.04,0.19,41.64,0.87,890.91,0.37,6.81,7.25,-1085
130,2015,CNT,XD và Kinh Doanh C&T,UPCOM,1,0.01,0.59,0.83,1.31,0.1,3.01,0.49,4.94,0.69,5.98,0.86,5.47,0.02,-0.67,-0.67,1.39,0.04,1.53,17.25,0.21,459.53,1.2,66.66,108.48,-2351.18
131,2010,CTN,VINAVICO,UPCOM,1,0.04,0.57,1,0.16,0.03,1.28,0.24,3.89,0.72,4.4,0.81,0,0,4.53,4.53,0.52,0.18,0.52,57.61,-2.71,187.35,0.58,3.45,5.06,2029
132,2011,CTN,VINAVICO,UPCOM,1,0.01,0.55,1.03,0.09,0.01,1.37,0.22,4.94,0.78,5.18,0.84,0,2465.25,22.11,22.11,0.39,0.11,0.39,39.26,-2.73,173.88,0.48,3.67,5.6,258
133,2012,CTN,VINAVICO,UPCOM,1,0.01,0.66,1.08,0.04,0.01,1.35,0.24,4.5,0.78,4.54,0.82,0,0,40.18,40.18,0.32,0.1,0.32,33.75,-23.04,176.62,0.51,3.94,5.94,122
134,2013,CTN,VINAVICO,UPCOM,1,0.02,0.71,1.14,0.03,0.01,0.94,0.21,3.53,0.77,3.56,0.78,0,702.7,103.94,104.51,0.58,0.3,0.58,62.68,1.49,159.66,0.75,5.33,9.74,73
135,2014,CTN,VINAVICO,UPCOM,1,0.24,0.7,0.96,0,0,3.01,0.21,4.94,0.78,5.98,0.86,0,0,-0.6,-0.6,1.36,0.79,1.36,26.79,0.35,125.93,3.72,-3.91,-2.82,-2351.18
136,2010,CYC,G?ch men Chang YIH,UPCOM,1,0.19,0.87,1.97,0.83,0.28,1.2,0.4,0.95,0.31,2.01,0.67,0,0,-3.42,-3.42,0.32,0.13,0.32,35.28,0.72,152.11,0.54,5.64,108.48,-1139
137,2011,CYC,G?ch men Chang YIH,UPCOM,1,0.04,0.46,1.61,0.83,0.23,1.54,0.43,1.53,0.43,2.59,0.72,0,1105.41,16.38,16.38,0.26,0.07,0.2,20.81,-0.73,176.17,0.57,5.15,15.33,140
139,2013,CYC,G?ch men Chang YIH,UPCOM,1,0.09,0.35,1.72,0.65,0.23,1.09,0.39,1.14,0.41,1.79,0.64,0,0,6.78,6.78,0.56,0.17,0.56,65.13,2.68,180.64,0.48,5.34,9.43,1062
140,2014,CYC,G?ch men Chang YIH,UPCOM,1,0.03,0.22,1.25,0.66,0.17,1.68,0.44,2.12,0.56,2.79,0.74,0,0,-2.42,-2.42,0.32,0.09,0.32,32.57,-1.76,198.56,0.57,30.42,-43.57,-1486
141,2017,CYC,G?ch men Chang YIH,UPCOM,1,0.14,0.32,1.02,1.24,0.17,2.21,0.31,4.91,0.69,5.98,0.86,5.47,0.08,-0.76,-0.76,0.26,0.04,0.23,9.95,0.23,94.7,0.31,25.32,-12.34,-1448
143,2017,DC1,Phát tri?n Xây d?ng s? 1 (DIC1),UPCOM,1,0,0.59,1.01,0,0,2.83,0.46,4.94,0.78,5.1,0.84,5.47,0.2,2.02,2.02,1.19,0.12,0.85,26.7,-0.36,90.11,0.42,6.76,7.34,4.41
146,2010,DCT,T?m l?p VLXD ??ng Nai,UPCOM,1,0.03,0.22,0.44,0.93,0.36,1.18,0.49,0.47,0.2,1.41,0.58,0,0,6.09,6.09,0.48,0.55,0.49,187.84,6.61,645.77,1.9,11.59,12.95,1133
147,2011,DCT,T?m l?p VLXD ??ng Nai,UPCOM,1,0.01,0.04,0.41,1.1,0.35,1.64,0.53,0.99,0.32,2.1,0.68,0,0,5.51,5.51,0.46,0.57,0.47,176.95,11.49,810.08,2.59,10.81,11.79,1.18
148,2012,DCT,T?m l?p VLXD ??ng Nai,UPCOM,1,0.02,0.21,0.4,1.3,0.36,1.94,0.59,1,0.3,2.3,0.7,0,0,-1.28,-1.28,0.26,0.13,0.21,70.78,-4.43,735.67,1.38,6.75,14.8,-2027
149,2013,DCT,T?m l?p VLXD ??ng Nai,UPCOM,1,0,0.11,0.29,1.31,0.36,3.01,0.59,2.06,0.41,3.99,0.8,0,0,-0.61,-0.61,0.39,0.29,0.41,81.67,-16.19,753.74,2.69,51.47,-16.61,-2351.18
150,2016,DCT,T?m l?p VLXD ??ng Nai,UPCOM,1,0.01,0.61,0.88,1.31,0.36,3.01,0.59,4.94,0.2,5.98,0.86,5.47,0.25,20.31,20.31,2.12,0.1,2.98,26.95,0.3,599.11,2.14,25.74,-16.15,49
151,2010,DDM,Hàng h?i ?ông ?ô,UPCOM,1,0.08,0.14,0.15,1.31,0.36,3.01,0.59,3.94,0.21,5.98,0.86,0,241.09,-0.76,-0.76,0.78,0.19,0.78,56.32,0.64,1133.76,3.81,22.14,108.48,-2351.18
152,2011,DDM,Hàng h?i ?ông ?ô,UPCOM,1,0.06,0.14,0.17,1.31,0.36,3.01,0.59,4.94,0.26,5.98,0.86,0,0,103.94,104.51,1.16,0.1,1.16,35.51,0.29,1080.28,3.04,8.18,13.14,15
153,2016,DHB,??m Hà B?c,UPCOM,1,0.02,0.13,0.41,1.31,0.36,3.01,0.59,1.3,0.14,5.98,0.86,5.47,0.27,-0.34,-0.34,0.35,0.16,0.34,353.86,2.97,6993.74,3.83,23.22,-24.94,-2351.18
154,2017,DHB,??m Hà B?c,UPCOM,1,0.13,0.62,0.74,1.31,0.36,3.01,0.59,4.22,0.19,5.98,0.86,5.47,0.25,-2.86,-2.86,2.9,0.69,2.98,1742.08,5.81,6993.74,3.65,27.34,108.48,-2237
155,2018,DHB,??m Hà B?c,UPCOM,1,0.09,0.21,0.29,1.31,0.36,3.01,0.59,4.94,0.3,5.98,0.86,5.47,0.43,-4.22,-4.19,2.9,0.55,2.98,1769.3,4.25,6993.74,2.85,11.39,18.9,-1177
157,2019,DSG,Kính ?áp C?u,UPCOM,1,0.33,0.66,1.04,0.03,0.01,0.16,0.09,0.85,0.45,0.87,0.47,1.87,0.25,-4.22,-4.19,2.9,5.06,2.98,660,-58.74,615.91,6.55,69.17,-64,-248
158,2020,DSG,Kính ?áp C?u,UPCOM,1,0.02,0.22,0.69,0.04,0.02,0.18,0.08,1.19,0.53,1.22,0.55,2.22,0.06,-4.22,-4.19,2.88,4.34,2.88,237.09,-6.77,249.63,4.57,69.17,-21.61,-683
159,2010,DTC,Viglacera ?ông Tri?u,UPCOM,1,0.04,0.31,0.73,0.41,0.11,2.05,0.56,1.84,0.5,2.63,0.72,0,2731.17,4.34,4.34,1.98,0.5,1.99,74.8,5.9,149.83,0.99,4.52,5.75,8424.88
160,2011,DTC,Viglacera ?ông Tri?u,UPCOM,1,0.1,0.32,0.53,1.31,0.27,3.01,0.59,2.8,0.43,5.55,0.85,0,2300,29.31,29.31,0.73,0.25,1.19,41.2,0,175.88,1.05,18.1,108.48,351
161,2012,DTC,Viglacera ?ông Tri?u,UPCOM,1,0.01,0.12,0.31,0,0.29,0,0.59,0.09,0.68,0.11,0.86,0,0,-0.17,-0.17,0.26,0.17,0.18,12,-0.66,163.08,2.29,-4.72,-3.89,-2351.18
162,2017,DTC,Viglacera ?ông Tri?u,UPCOM,1,0.09,0.14,0.63,0.93,0.22,2.08,0.5,2.25,0.54,3.18,0.76,4.18,0.83,6.35,6.35,2.28,0.51,2.28,142,22.86,255.88,0.91,3.66,4.58,2235
163,2018,DTC,Viglacera ?ông Tri?u,UPCOM,1,0.08,0.21,0.82,0.84,0.23,1.88,0.51,1.87,0.5,2.72,0.73,3.72,0.5,8.7,8.7,1.74,0.4,1.74,135,13.49,303.2,0.91,6.58,9.82,1552
164,2019,DTC,Viglacera ?ông Tri?u,UPCOM,1,0.1,0.13,0.91,1.27,0.31,2.16,0.53,1.79,0.44,3.06,0.75,4.06,0.54,8.59,8.59,1.19,0.34,1.19,107,67.91,285.46,0.92,5.54,9.11,1246
165,2020,DTC,Viglacera ?ông Tri?u,UPCOM,1,0.09,0.13,1.01,0.92,0.27,1.87,0.54,1.52,0.44,2.44,0.71,3.44,0.54,6.75,6.75,1.06,0.34,1.06,113.19,34.9,276.86,0.83,4.36,7.05,1677
168,2012,FDG,Th?y s?n Docimexco,UPCOM,1,0.18,0.56,1.1,0.14,0.02,3.01,0.59,4.9,0.73,5.61,0.84,0,0,-4.22,-4.19,1.11,0.08,1.11,157.08,1.35,670.09,0.32,7.55,10.65,-2351.18
169,2010,GGG,Ôtô Gi?i Phóng,UPCOM,1,0.01,0.67,1.01,0,0,1.67,0.57,1.9,0.65,1.92,0.66,0,0,13.22,13.22,1,0.52,1,102.22,0.48,269.72,1.37,28.48,49.05,476
170,2011,GGG,Ôtô Gi?i Phóng,UPCOM,1,0.01,0.26,0.73,1.31,0.2,3.01,0.59,4.73,0.66,5.98,0.86,0,0,-0.36,-0.36,0.7,0.32,0.7,24.09,2.77,213.66,2.86,-6.49,-5.76,-2351.18
171,2012,GGG,Ôtô Gi?i Phóng,UPCOM,1,0,0.11,0.42,1.31,0.22,3.01,0.59,4.94,0.74,5.98,0.86,0,0,-0.28,-0.28,1.09,0.16,1.09,7.71,0.19,160.67,3.37,-30.33,-26.67,-2351.18
172,2010,GTT,Thu?n Th?o Group,UPCOM,1,0.05,0.94,0.97,1.31,0.36,1.74,0.57,0.52,0.17,2.08,0.68,0,2731.17,3.62,3.62,0.56,0.58,0.56,252.32,0,1019.05,2.33,5.09,5.85,1603
