id,year,Company,Name,Exchange,Financial_Distress,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25
2497,2014,SMC,??u t? & TM SMC,HOSE,0,0.32,0.71,1.05,0.21,0.03,3.01,0.59,4.94,0.78,5.98,0.86,0,0,12.31,12.31,0.44,0.04,0.47,244.95,-0.3,2576.37,0.23,17.9,26.09,674
4534,2019,KMT,Kim khí Mi?n Trung,HNX,0,0.04,0.95,1.08,0,0,3.01,0.59,4.35,0.78,4.35,0.81,5.35,0.04,7.16,7.16,0.41,0.04,0.56,52.19,0.88,446.29,0.24,25.15,30.23,740
6583,2010,VNC,VINACONTROL,HNX,0,2.01,4.4,4.41,0,0,0,0,0.15,0.13,0.16,0.14,0,2392.41,3.46,3.46,0.73,0.55,0.75,117.56,1.51,51.01,0.23,1.18,1.28,4332
6608,2011,VNT,V?n t?i ngo?i th??ng,HNX,0,0.69,1.3,1.3,0,0,0,0,1.82,0.65,1.82,0.65,0,0,3.29,3.29,0.81,0.14,0.82,72.58,2.94,4.44,0.03,-0.28,-0.32,4067
6645,2018,VTH,Dây cáp ?i?n Vi?t Thái,HNX,0,0.17,1.01,2.5,0,0,0.23,0.16,0.41,0.29,0.41,0.29,1.41,0,-4.22,-4.19,0.64,0.14,0.64,47.5,11.39,54.13,0.16,-30.33,-8.37,-1467
7331,2020,CKD,?ông Anh Licogi,UPCOM,0,0.28,1.26,1.52,0.01,0.01,0.55,0.29,0.92,0.47,0.94,0.48,1.94,0.23,7.68,7.68,1.74,0.8,1.74,837,5.09,982.26,0.94,15.77,20.91,3515
7695,2018,DM7,D?t may 7,UPCOM,0,0.19,0.67,1.37,0,0,0,0,1.04,0.51,1.04,0.51,2.04,0,4.07,4.07,0.82,0.22,0.82,163.36,-2.41,39.96,0.05,0.49,0.89,2606
8522,2019,HU6,PT Nhà và ?ô th? HUD6,UPCOM,0,0.4,1.41,2.55,0,0,0,0,0.46,0.31,0.5,0.33,1.5,9.83,8.38,8.38,0.6,0.76,0.6,52.64,7.76,36.26,0.52,5.12,15.82,837
10001,2016,SBL,Bia Sài G?n - B?c Liêu,UPCOM,0,0.37,0.53,0.91,0,0,0,0,0.53,0.35,0.53,0.35,1.53,170.65,5.89,5.89,1.13,0.7,1.13,225.83,-3.83,247.05,0.77,3.66,5.83,3193
348,2017,CLW,C?p n??c Ch? L?n,HOSE,0,0.2,0.71,0.79,0.02,0.01,0.03,0.01,1.2,0.52,1.31,0.57,2.31,21.55,15.03,15.03,1.03,0.2,1.03,214.5,3.92,178.81,0.17,3.23,16.56,1098
594,2012,DHA,Hóa An,HOSE,0,0.92,1.81,2.07,0,0,0.1,0.08,0.17,0.15,0.17,0.15,0,0,8.82,8.82,0.45,0.64,0.64,138.56,5.22,150.63,0.69,3.87,6.59,1043
1869,2010,OPC,D??c ph?m OPC,HOSE,0,0.49,1.78,3.96,0.15,0.11,0.17,0.12,0.2,0.15,0.36,0.27,0,2731.17,5.19,5.19,0.89,0.74,0.93,262.08,13.9,283.13,0.79,3.58,4.25,6169
2664,2017,TCL,Tan Cang Logistics,HOSE,0,0.95,2.43,2.45,0.03,0.02,0.04,0.03,0.25,0.19,0.33,0.25,1.33,13.11,5.71,5.71,0.86,0.66,0.9,551.87,2.27,411.94,0.49,2.57,4.1,4613
3094,2017,VDP,D??c ph?m VIDIPHA,HOSE,0,0.11,1.94,2.94,0,0,0.1,0.07,0.36,0.26,0.36,0.26,1.36,1.43,6.86,6.86,1.03,0.96,1.06,395.64,10.88,426.72,1.04,7.6,9.45,4521
3353,2013,VTB,Viettronics Tân B?nh,HOSE,0,1.41,2.22,3.55,0,0,0.12,0.09,0.28,0.21,0.3,0.23,0,1208.11,9.33,9.33,0.64,0.63,0.71,129.65,-6.7,146.28,0.71,8.52,8.52,1286
5994,2019,THD,Công ty Thaiholdings,HNX,0,0.05,0.93,0.93,0.08,0.05,0.11,0.08,0.32,0.23,0.41,0.29,1.41,3.63,95.79,95.79,2.9,5.06,2.98,4554.55,32.84,4527,5.95,60.38,60.76,882
6179,2012,TTZ,Xây d?ng Ti?n Trung,HNX,0,0.43,2.19,4.69,0,0,0,0,0.14,0.12,0.14,0.12,0,0,103.94,104.51,2.3,3.42,2.3,85.75,19.96,83.6,3.33,65.18,108.48,110
6628,2019,VSM,Container Mi?n Trung,HNX,0,0.43,1.47,1.52,0.23,0.13,0.29,0.17,0.54,0.3,0.77,0.43,1.77,4.24,4.14,4.14,0.65,0.19,0.63,31.72,3.3,29.28,0.18,1.87,3.5,2512
8155,2013,HDM,D?t - May Hu?,UPCOM,0,0.08,0.62,1.03,0.86,0.18,2.35,0.5,2.79,0.6,3.65,0.78,0,0,7.12,7.12,2.01,0.17,2.01,219.98,1.31,451.6,0.34,4.49,7.4,6177
8976,2010,MDF,G? MDF VRG - Qu?ng Tr?,UPCOM,0,1.55,2.16,2.6,0.1,0.08,0.17,0.14,0.11,0.09,0.21,0.17,0,251.12,22.24,22.24,1.89,2.61,1.9,685.48,0,686.31,2.61,19.23,19.23,895
9377,2019,OIL,PV Oil,UPCOM,0,0.19,1.16,1.32,0.02,0.01,0.45,0.19,1.41,0.58,1.44,0.59,2.44,0.13,34.36,34.36,0.82,0.1,0.86,4818.31,-5.7,6993.74,0.13,15.84,38.17,223
10525,2018,TCW,Kho V?n Tân C?ng,UPCOM,0,1.04,2.07,2.09,0.36,0.2,0.47,0.26,0.4,0.22,0.79,0.44,1.79,3.09,5.81,5.81,1.05,0.51,1,335.69,4.09,388.97,0.59,2.49,4.65,3.85
11446,2017,WSB,Bia Sài G?n - Mi?n Tây,UPCOM,0,0,0.06,0.28,0,0,0.25,0.17,0.51,0.34,0.52,0.34,1.52,1.33,5.74,5.74,1.28,0.75,1.28,696,4.67,906.43,0.98,4.62,6.98,8367
937,2018,FPT,FPT Corp,HOSE,0,0.27,1.18,1.27,0.02,0.01,0.47,0.23,0.98,0.49,1.01,0.5,2.01,0.63,11.6,11.6,2.44,1.32,2.26,4818.31,8.47,6993.74,1.55,8.37,11.49,4.27
1261,2014,HSG,T?p ?oàn Hoa Sen,HOSE,0,0.02,0.34,0.92,0.44,0.12,2.46,0.59,2.25,0.61,2.69,0.73,0,2731.17,7.84,7.84,1.42,0.21,1.6,3390.22,0,6993.74,0.58,8.51,12.96,4491
2079,2011,PTB,Công ty C? ph?n Phú Tài,HOSE,0,0.11,0.64,1.04,0.14,0.04,1.7,0.49,2.29,0.66,2.43,0.7,0,0,2.48,2.48,0.78,0.08,0.79,144.01,1.6,414.15,0.23,2.76,3.5,4839
7618,2018,DFC,Xích líp ?ông Anh,UPCOM,0,0.05,0.59,1.18,0.56,0.16,1.45,0.42,1.84,0.54,2.41,0.71,3.41,0.43,5.85,5.85,0.98,0.1,1.25,147.6,-31.96,350.29,0.25,5.55,8.73,4204
